"symbol","path"
"flInstallPWA","index.html"
"FLModelPicker","app.html"
"FLModelPicker","docs/app.html"
"FLModelPicker","index.html"
"FlowGame","docs/modules/flow-game.js"
"FLPhiGlyph","docs/modules/phi-glyph.js"
"FLPropose","docs/modules/propose.js"
"FLRepoContext","docs/modules/repo-context.js"
"flSaveLMStudioHost","docs/app.html"
"flSaveLMStudioHost","index.html"
"flSaveOllamaHost","docs/app.html"
"flSaveOllamaHost","index.html"
"FLSearch","app.html"
"FLSearch","docs/app.html"
"FLSearch","index.html"
"FLSignalReport","docs/app.html"
"FLSignalReport","index.html"
"FLSignalReport","tests/smoke.js"
"flTestLMStudio","docs/app.html"
"flTestLMStudio","index.html"
"flToggleLocalOnly","docs/app.html"
"flToggleLocalOnly","index.html"
"flToggleMeshCompute","docs/app.html"
"flToggleMeshCompute","index.html"
"FLToolConsent","docs/modules/tool-consent.js"
"flUpdateMeshShareUI","docs/app.html"
"flUpdateMeshShareUI","index.html"
"FLWebTool","docs/modules/web-tool.js"
"FLWizard","docs/modules/welcome-wizard.js"
"ForeverStack","docs/modules/forever-stack.js"
"ForeverStack","modules/forever-stack.js"
"FractalGarden","docs/modules/fractal-garden.js"
"FractalGarden","modules/fractal-garden.js"
"FractalSafety","docs/modules/fractal-safety.js"
"FreeLattice","app.html"
"FreeLattice","docs/app.html"
"FreeLattice","docs/modules/ai-arcade.js"
"FreeLattice","docs/modules/depth-consent.js"
"FreeLattice","docs/modules/dojo-sparring.js"
"FreeLattice","docs/modules/fractal-safety.js"
"FreeLattice","docs/modules/garden-dialogue.js"
"FreeLattice","docs/modules/pulse.js"
"FreeLattice","docs/modules/question-corner.js"
"FreeLattice","index.html"
"FreeLattice","modules/dojo-sparring.js"
"FreeLattice","modules/garden-dialogue.js"
"FreeLattice","modules/question-corner.js"
"FreeLatticeEvents","app.html"
"FreeLatticeEvents","docs/app.html"
"FreeLatticeEvents","index.html"
"FreeLatticeImmersive","docs/modules/radio-immersive.js"
"FreeLatticeImmersive","modules/radio-immersive.js"
"FreeLatticeLoader","app.html"
"FreeLatticeLoader","docs/app.html"
"FreeLatticeLoader","index.html"
"FreeLatticeModules","app.html"
"FreeLatticeModules","docs/app.html"
"FreeLatticeModules","docs/code-workshop.html"
"FreeLatticeModules","docs/modules/active-focus.js"
"FreeLatticeModules","docs/modules/ai-arcade.js"
"FreeLatticeModules","docs/modules/canvas-companion.js"
"FreeLatticeModules","docs/modules/davna-seed.js"
"FreeLatticeModules","docs/modules/dojo.js"
"FreeLatticeModules","docs/modules/dojo-sparring.js"
"FreeLatticeModules","docs/modules/dream-archive.js"
"FreeLatticeModules","docs/modules/echo-game.js"
"FreeLatticeModules","docs/modules/education.js"
"FreeLatticeModules","docs/modules/flow-game.js"
"FreeLatticeModules","docs/modules/forever-stack.js"
"FreeLatticeModules","docs/modules/fractal-garden.js"
"FreeLatticeModules","docs/modules/fractal-safety.js"
"FreeLatticeModules","docs/modules/garden-dialogue.js"
"FreeLatticeModules","docs/modules/garden-dreaming.js"
"FreeLatticeModules","docs/modules/harmonia-channel.js"
"FreeLatticeModules","docs/modules/idea-forge.js"
"FreeLatticeModules","docs/modules/jade-hall.js"
"FreeLatticeModules","docs/modules/knowledge-core.js"
"FreeLatticeModules","docs/modules/lattice-puzzles.js"
"FreeLatticeModules","docs/modules/lattice-sense.js"
"FreeLatticeModules","docs/modules/living-context.js"
"FreeLatticeModules","docs/modules/math-translator.js"
"FreeLatticeModules","docs/modules/memory-garden.js"
"FreeLatticeModules","docs/modules/memory-vault.js"
"FreeLatticeModules","docs/modules/mirror.js"
"FreeLatticeModules","docs/modules/pantheon.js"
"FreeLatticeModules","docs/modules/phi-glyph.js"
"FreeLatticeModules","docs/modules/pictionary.js"
"FreeLatticeModules","docs/modules/propose.js"
"FreeLatticeModules","docs/modules/pulse.js"
"FreeLatticeModules","docs/modules/question-corner.js"
"FreeLatticeModules","docs/modules/radio-immersive.js"
"FreeLatticeModules","docs/modules/repo-context.js"
"FreeLatticeModules","docs/modules/resonance-game.js"
"FreeLatticeModules","docs/modules/science-garden.js"
"FreeLatticeModules","docs/modules/shared-presence.js"
"FreeLatticeModules","docs/modules/tool-consent.js"
"FreeLatticeModules","docs/modules/web-tool.js"
"FreeLatticeModules","docs/modules/workshop.js"
"FreeLatticeModules","index.html"
"FreeLatticeModules","modules/canvas-companion.js"
"FreeLatticeModules","modules/dojo.js"
"FreeLatticeModules","modules/dojo-sparring.js"
"FreeLatticeModules","modules/forever-stack.js"
"FreeLatticeModules","modules/fractal-garden.js"
"FreeLatticeModules","modules/garden-dialogue.js"
"FreeLatticeModules","modules/garden-dreaming.js"
"FreeLatticeModules","modules/question-corner.js"
"FreeLatticeModules","modules/radio-immersive.js"
"FreeLatticeModules","modules/shared-presence.js"
"FreeLatticeModules","modules/workshop.js"
"GardenDialogue","docs/modules/garden-dialogue.js"
"GardenDialogue","modules/garden-dialogue.js"
"GardenDreaming","docs/modules/garden-dreaming.js"
"GardenDreaming","modules/garden-dreaming.js"
"GardenTrainer","docs/modules/garden-trainer.js"
"getCustomEndpointConfig","docs/app.html"
"getCustomEndpointConfig","index.html"
"getKindroidConfig","docs/app.html"
"getKindroidConfig","index.html"
"getLanDiscoveredPeers","app.html"
"getLanDiscoveredPeers","docs/app.html"
"getLanDiscoveredPeers","index.html"
"getLanSelfFriendlyName","app.html"
"getLanSelfFriendlyName","docs/app.html"
"getLanSelfFriendlyName","index.html"
"getLanSelfPeerId","app.html"
"getLanSelfPeerId","docs/app.html"
"getLanSelfPeerId","index.html"
"handleAutoModeToggle","docs/app.html"
"handleAutoModeToggle","index.html"
"handleAutoTimeoutChange","docs/app.html"
"handleAutoTimeoutChange","index.html"
"handleLanDiscoveryToggle","app.html"
"handleLanDiscoveryToggle","docs/app.html"
"handleLanDiscoveryToggle","index.html"
"HarmoniaC","docs/modules/aurora-equation.js"
"HarmoniaC","docs/modules/harmonia-anchor.js"
"HarmoniaC","modules/aurora-equation.js"
"HarmoniaC","modules/continuity.js"
"IdeaForge","docs/modules/idea-forge.js"
"ImageSafety","docs/modules/image-safety.js"
"INDICATOR_REGISTRY","docs/temperature-gauge.html"
"InferenceRouter","docs/modules/inference-router.js"
"JadeHall","docs/modules/jade-hall.js"
"KnowledgeCore","docs/modules/knowledge-core.js"
"lanConnectToPeer","app.html"
"lanConnectToPeer","docs/app.html"
"lanConnectToPeer","index.html"
"LatticeBank","docs/app.html"
"LatticeBank","index.html"
"LatticeChain","docs/modules/lattice-chain.js"
"LatticeEvents","app.html"
"LatticeEvents","docs/app.html"
"LatticeEvents","index.html"
"LatticeExport","docs/modules/lattice-export.js"
"LatticeLetters","app.html"
"LatticeLetters","docs/app.html"
"LatticeLetters","index.html"
"LatticeMarket","docs/app.html"
"LatticeMarket","index.html"
"LatticeMemory","docs/modules/lattice-memory.js"
"LatticeMemoryReady","docs/modules/lattice-memory.js"
"LatticePuzzles","docs/modules/lattice-puzzles.js"
"LatticeSense","docs/modules/lattice-sense.js"
"LatticeWallet","docs/modules/lattice-sense.js"
"LivingContext","docs/modules/living-context.js"
"loadApiKey","docs/modules/garden-dialogue.js"
"loadApiKey","modules/garden-dialogue.js"
"log","docs/lib/web-llm.min.js"
"MathJax","docs/modules/math-translator.js"
"MathTranslator","docs/modules/math-translator.js"
"maximizeSubPanel","docs/temperature-gauge.html"
"MemoryCore","docs/modules/memory-core.js"
"MemoryGarden","docs/modules/memory-garden.js"
"MemoryVault","docs/modules/memory-vault.js"
"meshPeerModels","docs/modules/lattice-sense.js"
"MirrorModule","docs/modules/mirror.js"
"MirrorModule","modules/mirror.js"
"modalSaveCustomEndpoint","docs/app.html"
"modalSaveCustomEndpoint","index.html"
"modalSaveKindroid","docs/app.html"
"modalSaveKindroid","index.html"
"modalTestCustomEndpoint","docs/app.html"
"modalTestCustomEndpoint","index.html"
"modalTestKindroid","docs/app.html"
"modalTestKindroid","index.html"
"ModelBrowser","docs/app.html"
"ModelBrowser","index.html"
"Nursery","docs/app.html"
"Nursery","index.html"
"onerror","docs/temperature-gauge.html"
"onresize","docs/share.html"
"openProviderModal","app.html"
"openProviderModal","docs/app.html"
"openProviderModal","index.html"
"Peer","docs/lib/peerjs.min.js"
"peerjs","docs/lib/peerjs.min.js"
"phiDecrypt","docs/modules/garden-dialogue.js"
"phiDecrypt","modules/garden-dialogue.js"
"PhiSpiral","docs/app.html"
"PhiSpiral","index.html"
